Date,Rented Bike Count,Hour,Temperature (C),Humidity (%),Seasons,Holiday,Functioning Day,Datetime,Precipitation
2017-12-02,359,20,4.6,51,Winter,No Holiday,Yes,2017-12-02 20:00:00,0
2017-12-02,377,21,4.1,55,Winter,No Holiday,Yes,2017-12-02 21:00:00,0
2017-12-02,354,22,3.5,54,Winter,No Holiday,Yes,2017-12-02 22:00:00,0
2017-12-02,366,23,4.0,56,Winter,No Holiday,Yes,2017-12-02 23:00:00,0
2017-12-03,342,0,4.0,58,Winter,No Holiday,Yes,2017-12-03 00:00:00,0
2017-12-03,227,1,3.9,69,Winter,No Holiday,Yes,2017-12-03 01:00:00,0
2017-12-03,228,2,3.3,79,Winter,No Holiday,Yes,2017-12-03 02:00:00,0
2017-12-03,117,3,3.4,71,Winter,No Holiday,Yes,2017-12-03 03:00:00,1
2017-12-03,76,4,3.5,73,Winter,No Holiday,Yes,2017-12-03 04:00:00,0
2017-12-03,32,5,3.9,75,Winter,No Holiday,Yes,2017-12-03 05:00:00,0
2017-12-03,13,6,3.4,86,Winter,No Holiday,Yes,2017-12-03 06:00:00,1
2017-12-03,22,7,3.1,91,Winter,No Holiday,Yes,2017-12-03 07:00:00,0
2017-12-03,85,8,3.2,92,Winter,No Holiday,Yes,2017-12-03 08:00:00,0
2017-12-03,152,9,3.5,91,Winter,No Holiday,Yes,2017-12-03 09:00:00,1
2017-12-03,200,10,4.4,89,Winter,No Holiday,Yes,2017-12-03 10:00:00,0
2017-12-03,273,11,5.1,87,Winter,No Holiday,Yes,2017-12-03 11:00:00,0
2017-12-03,333,12,5.8,85,Winter,No Holiday,Yes,2017-12-03 12:00:00,0
2017-12-03,495,13,6.8,81,Winter,No Holiday,Yes,2017-12-03 13:00:00,0
2017-12-03,563,14,7.6,76,Winter,No Holiday,Yes,2017-12-03 14:00:00,0
2017-12-03,621,15,8.0,73,Winter,No Holiday,Yes,2017-12-03 15:00:00,0
2017-12-03,598,16,7.6,77,Winter,No Holiday,Yes,2017-12-03 16:00:00,0
2017-12-03,545,17,6.7,82,Winter,No Holiday,Yes,2017-12-03 17:00:00,0
2017-12-03,443,18,6.0,84,Winter,No Holiday,Yes,2017-12-03 18:00:00,0
2017-12-03,422,19,5.7,85,Winter,No Holiday,Yes,2017-12-03 19:00:00,0
2017-12-03,397,20,5.2,87,Winter,No Holiday,Yes,2017-12-03 20:00:00,0
2017-12-03,385,21,4.7,87,Winter,No Holiday,Yes,2017-12-03 21:00:00,0
2017-12-03,350,22,4.3,89,Winter,No Holiday,Yes,2017-12-03 22:00:00,0
2017-12-03,303,23,3.9,90,Winter,No Holiday,Yes,2017-12-03 23:00:00,0
2017-12-04,285,0,4.2,88,Winter,No Holiday,Yes,2017-12-04 00:00:00,0
2017-12-04,186,1,4.3,87,Winter,No Holiday,Yes,2017-12-04 01:00:00,0
2017-12-04,112,2,4.4,87,Winter,No Holiday,Yes,2017-12-04 02:00:00,0
2017-12-04,65,3,3.6,85,Winter,No Holiday,Yes,2017-12-04 03:00:00,0
2017-12-04,41,4,2.8,89,Winter,No Holiday,Yes,2017-12-04 04:00:00,0
2017-12-04,82,5,2.0,83,Winter,No Holiday,Yes,2017-12-04 05:00:00,0
2017-12-04,200,6,1.2,76,Winter,No Holiday,Yes,2017-12-04 06:00:00,1
2017-12-04,498,7,0.2,68,Winter,No Holiday,Yes,2017-12-04 07:00:00,0
2017-12-04,937,8,-0.8,69,Winter,No Holiday,Yes,2017-12-04 08:00:00,0
2017-12-04,509,9,-1.5,47,Winter,No Holiday,Yes,2017-12-04 09:00:00,0
2017-12-04,311,10,-1.1,40,Winter,No Holiday,Yes,2017-12-04 10:00:00,0
2017-12-04,379,11,-0.5,41,Winter,No Holiday,Yes,2017-12-04 11:00:00,0
2017-12-04,393,12,-0.3,38,Winter,No Holiday,Yes,2017-12-04 12:00:00,0
2017-12-04,391,13,0.0,30,Winter,No Holiday,Yes,2017-12-04 13:00:00,0
2017-12-04,338,14,0.1,27,Winter,No Holiday,Yes,2017-12-04 14:00:00,0
2017-12-04,341,15,-0.1,25,Winter,No Holiday,Yes,2017-12-04 15:00:00,0
2017-12-04,375,16,-0.2,23,Winter,No Holiday,Yes,2017-12-04 16:00:00,0
2017-12-04,515,17,-1.3,26,Winter,No Holiday,Yes,2017-12-04 17:00:00,0
2017-12-04,807,18,-2.1,29,Winter,No Holiday,Yes,2017-12-04 18:00:00,0
2017-12-04,568,19,-2.9,32,Winter,No Holiday,Yes,2017-12-04 19:00:00,0
2017-12-04,398,20,-3.6,38,Winter,No Holiday,Yes,2017-12-04 20:00:00,0
2017-12-04,397,21,-4.6,43,Winter,No Holiday,Yes,2017-12-04 21:00:00,0
2017-12-04,353,22,-5.3,45,Winter,No Holiday,Yes,2017-12-04 22:00:00,0
2017-12-04,248,23,-5.8,44,Winter,No Holiday,Yes,2017-12-04 23:00:00,0
2017-12-05,216,0,-6.1,42,Winter,No Holiday,Yes,2017-12-05 00:00:00,0
2017-12-05,198,1,-6.5,41,Winter,No Holiday,Yes,2017-12-05 01:00:00,0
2017-12-05,124,2,-6.8,41,Winter,No Holiday,Yes,2017-12-05 02:00:00,0
2017-12-05,62,3,-6.9,39,Winter,No Holiday,Yes,2017-12-05 03:00:00,0
2017-12-05,42,4,-7.2,34,Winter,No Holiday,Yes,2017-12-05 04:00:00,0
2017-12-05,82,5,-7.4,33,Winter,No Holiday,Yes,2017-12-05 05:00:00,0
2017-12-05,172,6,-7.4,34,Winter,No Holiday,Yes,2017-12-05 06:00:00,0
2017-12-05,381,7,-7.5,33,Winter,No Holiday,Yes,2017-12-05 07:00:00,0
2017-12-05,812,8,-8.1,36,Winter,No Holiday,Yes,2017-12-05 08:00:00,0
2017-12-05,462,9,-7.6,31,Winter,No Holiday,Yes,2017-12-05 09:00:00,0
2017-12-05,269,10,-5.5,26,Winter,No Holiday,Yes,2017-12-05 10:00:00,0
2017-12-05,334,11,-3.9,25,Winter,No Holiday,Yes,2017-12-05 11:00:00,0
2017-12-05,321,12,-2.3,25,Winter,No Holiday,Yes,2017-12-05 12:00:00,0
2017-12-05,325,13,-1.6,27,Winter,No Holiday,Yes,2017-12-05 13:00:00,0
2017-12-05,334,14,-1.1,28,Winter,No Holiday,Yes,2017-12-05 14:00:00,0
2017-12-05,353,15,-0.7,28,Winter,No Holiday,Yes,2017-12-05 15:00:00,0
2017-12-05,435,16,-0.5,30,Winter,No Holiday,Yes,2017-12-05 16:00:00,0
2017-12-05,529,17,-1.6,35,Winter,No Holiday,Yes,2017-12-05 17:00:00,0
2017-12-05,789,18,-2.6,40,Winter,No Holiday,Yes,2017-12-05 18:00:00,0
2017-12-05,597,19,-3.2,45,Winter,No Holiday,Yes,2017-12-05 19:00:00,0
2017-12-05,418,20,-3.5,46,Winter,No Holiday,Yes,2017-12-05 20:00:00,0
2017-12-05,415,21,-3.7,47,Winter,No Holiday,Yes,2017-12-05 21:00:00,0
2017-12-05,393,22,-2.8,49,Winter,No Holiday,Yes,2017-12-05 22:00:00,0
2017-12-05,244,23,-2.5,59,Winter,No Holiday,Yes,2017-12-05 23:00:00,0
2017-12-06,145,0,-2.8,77,Winter,No Holiday,Yes,2017-12-06 00:00:00,1
2017-12-06,144,1,-3.0,79,Winter,No Holiday,Yes,2017-12-06 01:00:00,1
2017-12-06,117,2,-3.0,79,Winter,No Holiday,Yes,2017-12-06 02:00:00,1
2017-12-06,78,3,-3.2,78,Winter,No Holiday,Yes,2017-12-06 03:00:00,1
2017-12-06,58,4,-3.4,75,Winter,No Holiday,Yes,2017-12-06 04:00:00,1
2017-12-06,87,5,-3.6,76,Winter,No Holiday,Yes,2017-12-06 05:00:00,1
2017-12-06,142,6,-3.7,76,Winter,No Holiday,Yes,2017-12-06 06:00:00,1
2017-12-06,379,7,-4.2,77,Winter,No Holiday,Yes,2017-12-06 07:00:00,1
2017-12-06,802,8,-4.2,78,Winter,No Holiday,Yes,2017-12-06 08:00:00,1
2017-12-06,440,9,-3.3,70,Winter,No Holiday,Yes,2017-12-06 09:00:00,1
2017-12-06,307,10,-0.9,64,Winter,No Holiday,Yes,2017-12-06 10:00:00,1
2017-12-06,381,11,1.6,57,Winter,No Holiday,Yes,2017-12-06 11:00:00,0
2017-12-06,405,12,2.4,52,Winter,No Holiday,Yes,2017-12-06 12:00:00,0
2017-12-06,442,13,4.2,47,Winter,No Holiday,Yes,2017-12-06 13:00:00,0
2017-12-06,416,14,5.5,34,Winter,No Holiday,Yes,2017-12-06 14:00:00,0
2017-12-06,412,15,5.5,31,Winter,No Holiday,Yes,2017-12-06 15:00:00,0
2017-12-06,496,16,5.3,37,Winter,No Holiday,Yes,2017-12-06 16:00:00,0
2017-12-06,239,17,4.1,60,Winter,No Holiday,Yes,2017-12-06 17:00:00,0
2017-12-06,204,18,1.7,90,Winter,No Holiday,Yes,2017-12-06 18:00:00,1
2017-12-06,205,19,1.2,92,Winter,No Holiday,Yes,2017-12-06 19:00:00,1
2017-12-06,190,20,1.2,94,Winter,No Holiday,Yes,2017-12-06 20:00:00,1
2017-12-06,165,21,1.1,92,Winter,No Holiday,Yes,2017-12-06 21:00:00,1
2017-12-06,222,22,1.3,92,Winter,No Holiday,Yes,2017-12-06 22:00:00,1
2017-12-06,193,23,1.3,92,Winter,No Holiday,Yes,2017-12-06 23:00:00,1
2017-12-07,198,0,1.4,92,Winter,No Holiday,Yes,2017-12-07 00:00:00,1
2017-12-07,218,1,1.5,92,Winter,No Holiday,Yes,2017-12-07 01:00:00,1
2017-12-07,149,2,1.4,92,Winter,No Holiday,Yes,2017-12-07 02:00:00,1
2017-12-07,102,3,1.9,91,Winter,No Holiday,Yes,2017-12-07 03:00:00,1
2017-12-07,62,4,1.6,92,Winter,No Holiday,Yes,2017-12-07 04:00:00,1
2017-12-07,83,5,1.5,92,Winter,No Holiday,Yes,2017-12-07 05:00:00,1
2017-12-07,137,6,1.0,93,Winter,No Holiday,Yes,2017-12-07 06:00:00,1
2017-12-07,367,7,0.3,93,Winter,No Holiday,Yes,2017-12-07 07:00:00,1
2017-12-07,754,8,-0.2,96,Winter,No Holiday,Yes,2017-12-07 08:00:00,1
2017-12-07,415,9,0.1,91,Winter,No Holiday,Yes,2017-12-07 09:00:00,1
2017-12-07,321,10,1.1,83,Winter,No Holiday,Yes,2017-12-07 10:00:00,1
2017-12-07,333,11,2.3,69,Winter,No Holiday,Yes,2017-12-07 11:00:00,1
2017-12-07,431,12,3.7,65,Winter,No Holiday,Yes,2017-12-07 12:00:00,1
2017-12-07,394,13,4.1,37,Winter,No Holiday,Yes,2017-12-07 13:00:00,0
2017-12-07,390,14,4.4,36,Winter,No Holiday,Yes,2017-12-07 14:00:00,0
2017-12-07,430,15,4.0,35,Winter,No Holiday,Yes,2017-12-07 15:00:00,0
2017-12-07,471,16,3.2,38,Winter,No Holiday,Yes,2017-12-07 16:00:00,0
2017-12-07,552,17,2.1,50,Winter,No Holiday,Yes,2017-12-07 17:00:00,0
2017-12-07,795,18,0.7,46,Winter,No Holiday,Yes,2017-12-07 18:00:00,0
2017-12-07,507,19,-0.4,47,Winter,No Holiday,Yes,2017-12-07 19:00:00,0
2017-12-07,390,20,-1.4,47,Winter,No Holiday,Yes,2017-12-07 20:00:00,0
2017-12-07,402,21,-2.2,46,Winter,No Holiday,Yes,2017-12-07 21:00:00,0
2017-12-07,389,22,-2.7,48,Winter,No Holiday,Yes,2017-12-07 22:00:00,0
2017-12-07,259,23,-3.2,50,Winter,No Holiday,Yes,2017-12-07 23:00:00,0
2017-12-08,233,0,-3.5,49,Winter,No Holiday,Yes,2017-12-08 00:00:00,0
2017-12-08,230,1,-3.7,50,Winter,No Holiday,Yes,2017-12-08 01:00:00,0
2017-12-08,131,2,-4.3,53,Winter,No Holiday,Yes,2017-12-08 02:00:00,0
2017-12-08,99,3,-4.8,52,Winter,No Holiday,Yes,2017-12-08 03:00:00,0
2017-12-08,71,4,-5.3,53,Winter,No Holiday,Yes,2017-12-08 04:00:00,0
2017-12-08,84,5,-5.8,56,Winter,No Holiday,Yes,2017-12-08 05:00:00,0
2017-12-08,158,6,-6.0,56,Winter,No Holiday,Yes,2017-12-08 06:00:00,0
2017-12-08,387,7,-6.5,57,Winter,No Holiday,Yes,2017-12-08 07:00:00,0
2017-12-08,780,8,-7.0,59,Winter,No Holiday,Yes,2017-12-08 08:00:00,0
2017-12-08,395,9,-6.7,50,Winter,No Holiday,Yes,2017-12-08 09:00:00,0
2017-12-08,261,10,-5.3,44,Winter,No Holiday,Yes,2017-12-08 10:00:00,0
2017-12-08,310,11,-3.7,39,Winter,No Holiday,Yes,2017-12-08 11:00:00,0
2017-12-08,355,12,-2.0,30,Winter,No Holiday,Yes,2017-12-08 12:00:00,0
2017-12-08,354,13,-1.7,28,Winter,No Holiday,Yes,2017-12-08 13:00:00,0
2017-12-08,350,14,-1.3,27,Winter,No Holiday,Yes,2017-12-08 14:00:00,0
2017-12-08,362,15,-0.8,26,Winter,No Holiday,Yes,2017-12-08 15:00:00,0
2017-12-08,401,16,-1.1,24,Winter,No Holiday,Yes,2017-12-08 16:00:00,0
2017-12-08,500,17,-2.4,30,Winter,No Holiday,Yes,2017-12-08 17:00:00,0
2017-12-08,752,18,-3.1,33,Winter,No Holiday,Yes,2017-12-08 18:00:00,0
2017-12-08,477,19,-3.3,35,Winter,No Holiday,Yes,2017-12-08 19:00:00,0
2017-12-08,384,20,-3.3,34,Winter,No Holiday,Yes,2017-12-08 20:00:00,0
2017-12-08,336,21,-3.3,35,Winter,No Holiday,Yes,2017-12-08 21:00:00,0
2017-12-08,347,22,-3.4,39,Winter,No Holiday,Yes,2017-12-08 22:00:00,0
2017-12-08,275,23,-3.5,43,Winter,No Holiday,Yes,2017-12-08 23:00:00,0
2017-12-09,267,0,-3.5,48,Winter,No Holiday,Yes,2017-12-09 00:00:00,0
2017-12-09,296,1,-4.1,49,Winter,No Holiday,Yes,2017-12-09 01:00:00,0
2017-12-09,237,2,-4.7,50,Winter,No Holiday,Yes,2017-12-09 02:00:00,0
2017-12-09,169,3,-4.3,47,Winter,No Holiday,Yes,2017-12-09 03:00:00,0
2017-12-09,96,4,-4.3,49,Winter,No Holiday,Yes,2017-12-09 04:00:00,0
2017-12-09,56,5,-4.7,49,Winter,No Holiday,Yes,2017-12-09 05:00:00,0
2017-12-09,76,6,-5.1,53,Winter,No Holiday,Yes,2017-12-09 06:00:00,0
2017-12-09,127,7,-5.5,56,Winter,No Holiday,Yes,2017-12-09 07:00:00,0
2017-12-09,222,8,-5.4,56,Winter,No Holiday,Yes,2017-12-09 08:00:00,0
2017-12-09,291,9,-4.7,48,Winter,No Holiday,Yes,2017-12-09 09:00:00,0
2017-12-09,273,10,-2.2,42,Winter,No Holiday,Yes,2017-12-09 10:00:00,0
2017-12-09,351,11,0.0,45,Winter,No Holiday,Yes,2017-12-09 11:00:00,0
2017-12-09,427,12,2.4,40,Winter,No Holiday,Yes,2017-12-09 12:00:00,0
2017-12-09,431,13,3.9,36,Winter,No Holiday,Yes,2017-12-09 13:00:00,0
2017-12-09,486,14,4.7,32,Winter,No Holiday,Yes,2017-12-09 14:00:00,0
2017-12-09,569,15,5.2,30,Winter,No Holiday,Yes,2017-12-09 15:00:00,0
2017-12-09,546,16,4.4,33,Winter,No Holiday,Yes,2017-12-09 16:00:00,0
2017-12-09,481,17,3.5,37,Winter,No Holiday,Yes,2017-12-09 17:00:00,0
2017-12-09,384,18,2.5,41,Winter,No Holiday,Yes,2017-12-09 18:00:00,0
2017-12-09,275,19,1.5,48,Winter,No Holiday,Yes,2017-12-09 19:00:00,0
2017-12-09,298,20,0.8,51,Winter,No Holiday,Yes,2017-12-09 20:00:00,0
2017-12-09,321,21,-0.1,55,Winter,No Holiday,Yes,2017-12-09 21:00:00,0
2017-12-09,289,22,-0.5,55,Winter,No Holiday,Yes,2017-12-09 22:00:00,0
2017-12-09,265,23,-0.1,54,Winter,No Holiday,Yes,2017-12-09 23:00:00,0
2017-12-10,326,0,-0.2,55,Winter,No Holiday,Yes,2017-12-10 00:00:00,0
2017-12-10,280,1,-0.2,54,Winter,No Holiday,Yes,2017-12-10 01:00:00,0
2017-12-10,243,2,0.2,52,Winter,No Holiday,Yes,2017-12-10 02:00:00,0
2017-12-10,169,3,0.3,53,Winter,No Holiday,Yes,2017-12-10 03:00:00,0
2017-12-10,71,4,0.4,52,Winter,No Holiday,Yes,2017-12-10 04:00:00,0
2017-12-10,13,5,0.3,74,Winter,No Holiday,Yes,2017-12-10 05:00:00,1
2017-12-10,9,6,-0.5,90,Winter,No Holiday,Yes,2017-12-10 06:00:00,1
2017-12-10,20,7,-0.4,92,Winter,No Holiday,Yes,2017-12-10 07:00:00,1
2017-12-10,35,8,-0.2,90,Winter,No Holiday,Yes,2017-12-10 08:00:00,1
2017-12-10,31,9,0.2,90,Winter,No Holiday,Yes,2017-12-10 09:00:00,1
2017-12-10,19,10,0.5,91,Winter,No Holiday,Yes,2017-12-10 10:00:00,1
2017-12-10,58,11,0.9,92,Winter,No Holiday,Yes,2017-12-10 11:00:00,1
2017-12-10,119,12,2.3,88,Winter,No Holiday,Yes,2017-12-10 12:00:00,1
2017-12-10,182,13,3.3,87,Winter,No Holiday,Yes,2017-12-10 13:00:00,1
2017-12-10,235,14,4.2,85,Winter,No Holiday,Yes,2017-12-10 14:00:00,1
2017-12-10,180,15,6.7,63,Winter,No Holiday,Yes,2017-12-10 15:00:00,1
2017-12-10,214,16,5.4,71,Winter,No Holiday,Yes,2017-12-10 16:00:00,1
2017-12-10,226,17,3.6,65,Winter,No Holiday,Yes,2017-12-10 17:00:00,1
2017-12-10,210,18,2.0,61,Winter,No Holiday,Yes,2017-12-10 18:00:00,0
2017-12-10,181,19,1.6,53,Winter,No Holiday,Yes,2017-12-10 19:00:00,0
2017-12-10,165,20,0.6,57,Winter,No Holiday,Yes,2017-12-10 20:00:00,0
2017-12-10,167,21,0.0,59,Winter,No Holiday,Yes,2017-12-10 21:00:00,0
2017-12-10,152,22,-1.0,56,Winter,No Holiday,Yes,2017-12-10 22:00:00,0
2017-12-10,148,23,-1.4,43,Winter,No Holiday,Yes,2017-12-10 23:00:00,0
2017-12-11,125,0,-2.5,39,Winter,No Holiday,Yes,2017-12-11 00:00:00,0
2017-12-11,111,1,-3.4,36,Winter,No Holiday,Yes,2017-12-11 01:00:00,0
2017-12-11,67,2,-4.2,35,Winter,No Holiday,Yes,2017-12-11 02:00:00,0
2017-12-11,45,3,-4.7,38,Winter,No Holiday,Yes,2017-12-11 03:00:00,0
2017-12-11,44,4,-5.2,35,Winter,No Holiday,Yes,2017-12-11 04:00:00,0
2017-12-11,86,5,-5.6,38,Winter,No Holiday,Yes,2017-12-11 05:00:00,0
2017-12-11,136,6,-5.9,39,Winter,No Holiday,Yes,2017-12-11 06:00:00,0
2017-12-11,325,7,-6.0,39,Winter,No Holiday,Yes,2017-12-11 07:00:00,0
2017-12-11,653,8,-6.0,38,Winter,No Holiday,Yes,2017-12-11 08:00:00,0
2017-12-11,326,9,-5.9,36,Winter,No Holiday,Yes,2017-12-11 09:00:00,0
2017-12-11,212,10,-5.3,32,Winter,No Holiday,Yes,2017-12-11 10:00:00,0
2017-12-11,226,11,-4.7,36,Winter,No Holiday,Yes,2017-12-11 11:00:00,0
2017-12-11,247,12,-5.2,33,Winter,No Holiday,Yes,2017-12-11 12:00:00,0
2017-12-11,241,13,-5.4,32,Winter,No Holiday,Yes,2017-12-11 13:00:00,0
2017-12-11,253,14,-5.4,31,Winter,No Holiday,Yes,2017-12-11 14:00:00,0
2017-12-11,269,15,-5.5,33,Winter,No Holiday,Yes,2017-12-11 15:00:00,0
2017-12-11,277,16,-6.0,40,Winter,No Holiday,Yes,2017-12-11 16:00:00,0
2017-12-11,361,17,-7.1,44,Winter,No Holiday,Yes,2017-12-11 17:00:00,0
2017-12-11,557,18,-7.9,43,Winter,No Holiday,Yes,2017-12-11 18:00:00,0
2017-12-11,371,19,-8.6,45,Winter,No Holiday,Yes,2017-12-11 19:00:00,0
2017-12-11,254,20,-9.3,49,Winter,No Holiday,Yes,2017-12-11 20:00:00,0
2017-12-11,266,21,-9.7,51,Winter,No Holiday,Yes,2017-12-11 21:00:00,0
2017-12-11,222,22,-10.2,50,Winter,No Holiday,Yes,2017-12-11 22:00:00,0
2017-12-11,174,23,-10.7,53,Winter,No Holiday,Yes,2017-12-11 23:00:00,0
2017-12-12,133,0,-11.0,51,Winter,No Holiday,Yes,2017-12-12 00:00:00,0
2017-12-12,127,1,-11.2,51,Winter,No Holiday,Yes,2017-12-12 01:00:00,0
2017-12-12,95,2,-11.5,50,Winter,No Holiday,Yes,2017-12-12 02:00:00,0
2017-12-12,54,3,-11.6,50,Winter,No Holiday,Yes,2017-12-12 03:00:00,0
2017-12-12,46,4,-11.6,47,Winter,No Holiday,Yes,2017-12-12 04:00:00,0
2017-12-12,65,5,-11.6,45,Winter,No Holiday,Yes,2017-12-12 05:00:00,0
2017-12-12,104,6,-11.8,47,Winter,No Holiday,Yes,2017-12-12 06:00:00,0
2017-12-12,280,7,-12.1,50,Winter,No Holiday,Yes,2017-12-12 07:00:00,0
2017-12-12,580,8,-12.3,52,Winter,No Holiday,Yes,2017-12-12 08:00:00,0
2017-12-12,275,9,-11.8,46,Winter,No Holiday,Yes,2017-12-12 09:00:00,0
2017-12-12,184,10,-10.5,45,Winter,No Holiday,Yes,2017-12-12 10:00:00,0
2017-12-12,201,11,-9.4,42,Winter,No Holiday,Yes,2017-12-12 11:00:00,0
2017-12-12,228,12,-8.3,35,Winter,No Holiday,Yes,2017-12-12 12:00:00,0
2017-12-12,225,13,-6.9,37,Winter,No Holiday,Yes,2017-12-12 13:00:00,0
2017-12-12,258,14,-5.4,32,Winter,No Holiday,Yes,2017-12-12 14:00:00,0
2017-12-12,250,15,-5.8,30,Winter,No Holiday,Yes,2017-12-12 15:00:00,0
2017-12-12,248,16,-6.0,29,Winter,No Holiday,Yes,2017-12-12 16:00:00,0
2017-12-12,305,17,-7.0,32,Winter,No Holiday,Yes,2017-12-12 17:00:00,0
2017-12-12,529,18,-7.7,36,Winter,No Holiday,Yes,2017-12-12 18:00:00,0
2017-12-12,350,19,-8.2,43,Winter,No Holiday,Yes,2017-12-12 19:00:00,0
2017-12-12,260,20,-8.4,42,Winter,No Holiday,Yes,2017-12-12 20:00:00,0
2017-12-12,270,21,-8.8,43,Winter,No Holiday,Yes,2017-12-12 21:00:00,0
2017-12-12,256,22,-9.0,45,Winter,No Holiday,Yes,2017-12-12 22:00:00,0
2017-12-12,173,23,-9.3,47,Winter,No Holiday,Yes,2017-12-12 23:00:00,0
2017-12-13,168,0,-9.5,48,Winter,No Holiday,Yes,2017-12-13 00:00:00,0
2017-12-13,183,1,-10.2,52,Winter,No Holiday,Yes,2017-12-13 01:00:00,0
2017-12-13,120,2,-10.4,53,Winter,No Holiday,Yes,2017-12-13 02:00:00,0
2017-12-13,79,3,-10.9,55,Winter,No Holiday,Yes,2017-12-13 03:00:00,0
2017-12-13,41,4,-11.4,58,Winter,No Holiday,Yes,2017-12-13 04:00:00,0
2017-12-13,68,5,-11.5,58,Winter,No Holiday,Yes,2017-12-13 05:00:00,0
2017-12-13,109,6,-11.9,57,Winter,No Holiday,Yes,2017-12-13 06:00:00,0
2017-12-13,310,7,-11.7,53,Winter,No Holiday,Yes,2017-12-13 07:00:00,0
2017-12-13,591,8,-11.4,47,Winter,No Holiday,Yes,2017-12-13 08:00:00,0
