Date,Hour,Temperature (C),Humidity (%),Seasons,Holiday,Functioning Day,Precipitation
2017-12-05,0,-6.1,42,Winter,No Holiday,Yes,0
2017-12-05,1,-6.5,41,Winter,No Holiday,Yes,0
2017-12-05,2,-6.8,41,Winter,No Holiday,Yes,0
2017-12-05,3,-6.9,39,Winter,No Holiday,Yes,0
2017-12-05,4,-7.2,34,Winter,No Holiday,Yes,0
2017-12-05,5,-7.4,33,Winter,No Holiday,Yes,0
2017-12-05,6,-7.4,34,Winter,No Holiday,Yes,0
2017-12-05,7,-7.5,33,Winter,No Holiday,Yes,0
2017-12-05,8,-8.1,36,Winter,No Holiday,Yes,0
2017-12-05,9,-7.6,31,Winter,No Holiday,Yes,0
2017-12-05,10,-5.5,26,Winter,No Holiday,Yes,0
2017-12-05,11,-3.9,25,Winter,No Holiday,Yes,0
2017-12-05,12,-2.3,25,Winter,No Holiday,Yes,0
2017-12-05,13,-1.6,27,Winter,No Holiday,Yes,0
2017-12-05,14,-1.1,28,Winter,No Holiday,Yes,0
2017-12-05,15,-0.7,28,Winter,No Holiday,Yes,0
2017-12-05,16,-0.5,30,Winter,No Holiday,Yes,0
2017-12-05,17,-1.6,35,Winter,No Holiday,Yes,0
2017-12-05,18,-2.6,40,Winter,No Holiday,Yes,0
2017-12-05,19,-3.2,45,Winter,No Holiday,Yes,0
2017-12-05,20,-3.5,46,Winter,No Holiday,Yes,0
2017-12-05,21,-3.7,47,Winter,No Holiday,Yes,0
2017-12-05,22,-2.8,49,Winter,No Holiday,Yes,0
2017-12-05,23,-2.5,59,Winter,No Holiday,Yes,0
2017-12-06,0,-2.8,77,Winter,No Holiday,Yes,1
2017-12-06,1,-3.0,79,Winter,No Holiday,Yes,1
2017-12-06,2,-3.0,79,Winter,No Holiday,Yes,1
2017-12-06,3,-3.2,78,Winter,No Holiday,Yes,1
2017-12-06,4,-3.4,75,Winter,No Holiday,Yes,1
2017-12-06,5,-3.6,76,Winter,No Holiday,Yes,1
2017-12-06,6,-3.7,76,Winter,No Holiday,Yes,1
2017-12-06,7,-4.2,77,Winter,No Holiday,Yes,1
2017-12-06,8,-4.2,78,Winter,No Holiday,Yes,1
2017-12-06,9,-3.3,70,Winter,No Holiday,Yes,1
2017-12-06,10,-0.9,64,Winter,No Holiday,Yes,1
2017-12-06,11,1.6,57,Winter,No Holiday,Yes,0
2017-12-06,12,2.4,52,Winter,No Holiday,Yes,0
2017-12-06,13,4.2,47,Winter,No Holiday,Yes,0
2017-12-06,14,5.5,34,Winter,No Holiday,Yes,0
2017-12-06,15,5.5,31,Winter,No Holiday,Yes,0
2017-12-06,16,5.3,37,Winter,No Holiday,Yes,0
2017-12-06,17,4.1,60,Winter,No Holiday,Yes,0
2017-12-06,18,1.7,90,Winter,No Holiday,Yes,1
2017-12-06,19,1.2,92,Winter,No Holiday,Yes,1
2017-12-06,20,1.2,94,Winter,No Holiday,Yes,1
2017-12-06,21,1.1,92,Winter,No Holiday,Yes,1
2017-12-06,22,1.3,92,Winter,No Holiday,Yes,1
2017-12-06,23,1.3,92,Winter,No Holiday,Yes,1
2017-12-07,0,1.4,92,Winter,No Holiday,Yes,1
2017-12-07,1,1.5,92,Winter,No Holiday,Yes,1
2017-12-07,2,1.4,92,Winter,No Holiday,Yes,1
2017-12-07,3,1.9,91,Winter,No Holiday,Yes,1
2017-12-07,4,1.6,92,Winter,No Holiday,Yes,1
2017-12-07,5,1.5,92,Winter,No Holiday,Yes,1
2017-12-07,6,1.0,93,Winter,No Holiday,Yes,1
2017-12-07,7,0.3,93,Winter,No Holiday,Yes,1
2017-12-07,8,-0.2,96,Winter,No Holiday,Yes,1
2017-12-07,9,0.1,91,Winter,No Holiday,Yes,1
2017-12-07,10,1.1,83,Winter,No Holiday,Yes,1
2017-12-07,11,2.3,69,Winter,No Holiday,Yes,1
2017-12-07,12,3.7,65,Winter,No Holiday,Yes,1
2017-12-07,13,4.1,37,Winter,No Holiday,Yes,0
2017-12-07,14,4.4,36,Winter,No Holiday,Yes,0
2017-12-07,15,4.0,35,Winter,No Holiday,Yes,0
2017-12-07,16,3.2,38,Winter,No Holiday,Yes,0
2017-12-07,17,2.1,50,Winter,No Holiday,Yes,0
2017-12-07,18,0.7,46,Winter,No Holiday,Yes,0
2017-12-07,19,-0.4,47,Winter,No Holiday,Yes,0
2017-12-07,20,-1.4,47,Winter,No Holiday,Yes,0
2017-12-07,21,-2.2,46,Winter,No Holiday,Yes,0
2017-12-07,22,-2.7,48,Winter,No Holiday,Yes,0
2017-12-07,23,-3.2,50,Winter,No Holiday,Yes,0
2017-12-08,0,-3.5,49,Winter,No Holiday,Yes,0
2017-12-08,1,-3.7,50,Winter,No Holiday,Yes,0
2017-12-08,2,-4.3,53,Winter,No Holiday,Yes,0
2017-12-08,3,-4.8,52,Winter,No Holiday,Yes,0
2017-12-08,4,-5.3,53,Winter,No Holiday,Yes,0
2017-12-08,5,-5.8,56,Winter,No Holiday,Yes,0
2017-12-08,6,-6.0,56,Winter,No Holiday,Yes,0
2017-12-08,7,-6.5,57,Winter,No Holiday,Yes,0
2017-12-08,8,-7.0,59,Winter,No Holiday,Yes,0
2017-12-08,9,-6.7,50,Winter,No Holiday,Yes,0
2017-12-08,10,-5.3,44,Winter,No Holiday,Yes,0
2017-12-08,11,-3.7,39,Winter,No Holiday,Yes,0
2017-12-08,12,-2.0,30,Winter,No Holiday,Yes,0
2017-12-08,13,-1.7,28,Winter,No Holiday,Yes,0
2017-12-08,14,-1.3,27,Winter,No Holiday,Yes,0
2017-12-08,15,-0.8,26,Winter,No Holiday,Yes,0
2017-12-08,16,-1.1,24,Winter,No Holiday,Yes,0
2017-12-08,17,-2.4,30,Winter,No Holiday,Yes,0
2017-12-08,18,-3.1,33,Winter,No Holiday,Yes,0
2017-12-08,19,-3.3,35,Winter,No Holiday,Yes,0
2017-12-08,20,-3.3,34,Winter,No Holiday,Yes,0
2017-12-08,21,-3.3,35,Winter,No Holiday,Yes,0
2017-12-08,22,-3.4,39,Winter,No Holiday,Yes,0
2017-12-08,23,-3.5,43,Winter,No Holiday,Yes,0
2017-12-09,0,-3.5,48,Winter,No Holiday,Yes,0
2017-12-09,1,-4.1,49,Winter,No Holiday,Yes,0
2017-12-09,2,-4.7,50,Winter,No Holiday,Yes,0
2017-12-09,3,-4.3,47,Winter,No Holiday,Yes,0
2017-12-09,4,-4.3,49,Winter,No Holiday,Yes,0
2017-12-09,5,-4.7,49,Winter,No Holiday,Yes,0
2017-12-09,6,-5.1,53,Winter,No Holiday,Yes,0
2017-12-09,7,-5.5,56,Winter,No Holiday,Yes,0
2017-12-09,8,-5.4,56,Winter,No Holiday,Yes,0
2017-12-09,9,-4.7,48,Winter,No Holiday,Yes,0
2017-12-09,10,-2.2,42,Winter,No Holiday,Yes,0
2017-12-09,11,0.0,45,Winter,No Holiday,Yes,0
2017-12-09,12,2.4,40,Winter,No Holiday,Yes,0
2017-12-09,13,3.9,36,Winter,No Holiday,Yes,0
2017-12-09,14,4.7,32,Winter,No Holiday,Yes,0
2017-12-09,15,5.2,30,Winter,No Holiday,Yes,0
2017-12-09,16,4.4,33,Winter,No Holiday,Yes,0
2017-12-09,17,3.5,37,Winter,No Holiday,Yes,0
2017-12-09,18,2.5,41,Winter,No Holiday,Yes,0
2017-12-09,19,1.5,48,Winter,No Holiday,Yes,0
2017-12-09,20,0.8,51,Winter,No Holiday,Yes,0
2017-12-09,21,-0.1,55,Winter,No Holiday,Yes,0
2017-12-09,22,-0.5,55,Winter,No Holiday,Yes,0
2017-12-09,23,-0.1,54,Winter,No Holiday,Yes,0
2017-12-10,0,-0.2,55,Winter,No Holiday,Yes,0
2017-12-10,1,-0.2,54,Winter,No Holiday,Yes,0
2017-12-10,2,0.2,52,Winter,No Holiday,Yes,0
2017-12-10,3,0.3,53,Winter,No Holiday,Yes,0
2017-12-10,4,0.4,52,Winter,No Holiday,Yes,0
2017-12-10,5,0.3,74,Winter,No Holiday,Yes,1
2017-12-10,6,-0.5,90,Winter,No Holiday,Yes,1
2017-12-10,7,-0.4,92,Winter,No Holiday,Yes,1
2017-12-10,8,-0.2,90,Winter,No Holiday,Yes,1
2017-12-10,9,0.2,90,Winter,No Holiday,Yes,1
2017-12-10,10,0.5,91,Winter,No Holiday,Yes,1
2017-12-10,11,0.9,92,Winter,No Holiday,Yes,1
2017-12-10,12,2.3,88,Winter,No Holiday,Yes,1
2017-12-10,13,3.3,87,Winter,No Holiday,Yes,1
2017-12-10,14,4.2,85,Winter,No Holiday,Yes,1
2017-12-10,15,6.7,63,Winter,No Holiday,Yes,1
2017-12-10,16,5.4,71,Winter,No Holiday,Yes,1
2017-12-10,17,3.6,65,Winter,No Holiday,Yes,1
2017-12-10,18,2.0,61,Winter,No Holiday,Yes,0
2017-12-10,19,1.6,53,Winter,No Holiday,Yes,0
2017-12-10,20,0.6,57,Winter,No Holiday,Yes,0
2017-12-10,21,0.0,59,Winter,No Holiday,Yes,0
2017-12-10,22,-1.0,56,Winter,No Holiday,Yes,0
2017-12-10,23,-1.4,43,Winter,No Holiday,Yes,0
2017-12-11,0,-2.5,39,Winter,No Holiday,Yes,0
2017-12-11,1,-3.4,36,Winter,No Holiday,Yes,0
2017-12-11,2,-4.2,35,Winter,No Holiday,Yes,0
2017-12-11,3,-4.7,38,Winter,No Holiday,Yes,0
2017-12-11,4,-5.2,35,Winter,No Holiday,Yes,0
2017-12-11,5,-5.6,38,Winter,No Holiday,Yes,0
2017-12-11,6,-5.9,39,Winter,No Holiday,Yes,0
2017-12-11,7,-6.0,39,Winter,No Holiday,Yes,0
2017-12-11,8,-6.0,38,Winter,No Holiday,Yes,0
2017-12-11,9,-5.9,36,Winter,No Holiday,Yes,0
2017-12-11,10,-5.3,32,Winter,No Holiday,Yes,0
2017-12-11,11,-4.7,36,Winter,No Holiday,Yes,0
2017-12-11,12,-5.2,33,Winter,No Holiday,Yes,0
2017-12-11,13,-5.4,32,Winter,No Holiday,Yes,0
2017-12-11,14,-5.4,31,Winter,No Holiday,Yes,0
2017-12-11,15,-5.5,33,Winter,No Holiday,Yes,0
2017-12-11,16,-6.0,40,Winter,No Holiday,Yes,0
2017-12-11,17,-7.1,44,Winter,No Holiday,Yes,0
2017-12-11,18,-7.9,43,Winter,No Holiday,Yes,0
2017-12-11,19,-8.6,45,Winter,No Holiday,Yes,0
2017-12-11,20,-9.3,49,Winter,No Holiday,Yes,0
2017-12-11,21,-9.7,51,Winter,No Holiday,Yes,0
2017-12-11,22,-10.2,50,Winter,No Holiday,Yes,0
2017-12-11,23,-10.7,53,Winter,No Holiday,Yes,0
2017-12-12,0,-11.0,51,Winter,No Holiday,Yes,0
2017-12-12,1,-11.2,51,Winter,No Holiday,Yes,0
2017-12-12,2,-11.5,50,Winter,No Holiday,Yes,0
2017-12-12,3,-11.6,50,Winter,No Holiday,Yes,0
2017-12-12,4,-11.6,47,Winter,No Holiday,Yes,0
2017-12-12,5,-11.6,45,Winter,No Holiday,Yes,0
2017-12-12,6,-11.8,47,Winter,No Holiday,Yes,0
2017-12-12,7,-12.1,50,Winter,No Holiday,Yes,0
2017-12-12,8,-12.3,52,Winter,No Holiday,Yes,0
2017-12-12,9,-11.8,46,Winter,No Holiday,Yes,0
2017-12-12,10,-10.5,45,Winter,No Holiday,Yes,0
2017-12-12,11,-9.4,42,Winter,No Holiday,Yes,0
2017-12-12,12,-8.3,35,Winter,No Holiday,Yes,0
2017-12-12,13,-6.9,37,Winter,No Holiday,Yes,0
2017-12-12,14,-5.4,32,Winter,No Holiday,Yes,0
2017-12-12,15,-5.8,30,Winter,No Holiday,Yes,0
2017-12-12,16,-6.0,29,Winter,No Holiday,Yes,0
2017-12-12,17,-7.0,32,Winter,No Holiday,Yes,0
2017-12-12,18,-7.7,36,Winter,No Holiday,Yes,0
2017-12-12,19,-8.2,43,Winter,No Holiday,Yes,0
2017-12-12,20,-8.4,42,Winter,No Holiday,Yes,0
2017-12-12,21,-8.8,43,Winter,No Holiday,Yes,0
2017-12-12,22,-9.0,45,Winter,No Holiday,Yes,0
2017-12-12,23,-9.3,47,Winter,No Holiday,Yes,0
2017-12-13,0,-9.5,48,Winter,No Holiday,Yes,0
2017-12-13,1,-10.2,52,Winter,No Holiday,Yes,0
2017-12-13,2,-10.4,53,Winter,No Holiday,Yes,0
2017-12-13,3,-10.9,55,Winter,No Holiday,Yes,0
2017-12-13,4,-11.4,58,Winter,No Holiday,Yes,0
2017-12-13,5,-11.5,58,Winter,No Holiday,Yes,0
2017-12-13,6,-11.9,57,Winter,No Holiday,Yes,0
2017-12-13,7,-11.7,53,Winter,No Holiday,Yes,0
2017-12-13,8,-11.4,47,Winter,No Holiday,Yes,0
2017-12-13,9,-11.1,46,Winter,No Holiday,Yes,0
2017-12-13,10,-9.5,39,Winter,No Holiday,Yes,0
2017-12-13,11,-8.1,35,Winter,No Holiday,Yes,0
2017-12-13,12,-6.5,30,Winter,No Holiday,Yes,0
2017-12-13,13,-5.8,28,Winter,No Holiday,Yes,0
2017-12-13,14,-4.7,27,Winter,No Holiday,Yes,0
2017-12-13,15,-4.9,26,Winter,No Holiday,Yes,0
2017-12-13,16,-4.5,26,Winter,No Holiday,Yes,0
2017-12-13,17,-5.6,29,Winter,No Holiday,Yes,0
2017-12-13,18,-6.6,33,Winter,No Holiday,Yes,0
2017-12-13,19,-6.6,31,Winter,No Holiday,Yes,0
2017-12-13,20,-7.6,35,Winter,No Holiday,Yes,0
2017-12-13,21,-8.3,39,Winter,No Holiday,Yes,0
2017-12-13,22,-8.9,39,Winter,No Holiday,Yes,0
2017-12-13,23,-9.2,44,Winter,No Holiday,Yes,0
2017-12-14,0,-9.5,50,Winter,No Holiday,Yes,0
2017-12-14,1,-9.8,48,Winter,No Holiday,Yes,0
2017-12-14,2,-10.6,44,Winter,No Holiday,Yes,0
2017-12-14,3,-10.7,48,Winter,No Holiday,Yes,0
2017-12-14,4,-11.0,50,Winter,No Holiday,Yes,0
2017-12-14,5,-10.8,48,Winter,No Holiday,Yes,0
2017-12-14,6,-11.0,55,Winter,No Holiday,Yes,0
2017-12-14,7,-10.9,57,Winter,No Holiday,Yes,0
2017-12-14,8,-10.4,54,Winter,No Holiday,Yes,0
2017-12-14,9,-9.4,44,Winter,No Holiday,Yes,0
2017-12-14,10,-7.7,43,Winter,No Holiday,Yes,0
2017-12-14,11,-6.1,38,Winter,No Holiday,Yes,0
2017-12-14,12,-4.9,34,Winter,No Holiday,Yes,0
2017-12-14,13,-3.8,32,Winter,No Holiday,Yes,0
2017-12-14,14,-2.7,28,Winter,No Holiday,Yes,0
2017-12-14,15,-2.5,29,Winter,No Holiday,Yes,0
2017-12-14,16,-2.4,28,Winter,No Holiday,Yes,0
2017-12-14,17,-2.9,31,Winter,No Holiday,Yes,0
2017-12-14,18,-3.5,35,Winter,No Holiday,Yes,0
2017-12-14,19,-4.2,40,Winter,No Holiday,Yes,0
2017-12-14,20,-4.8,43,Winter,No Holiday,Yes,0
2017-12-14,21,-4.8,45,Winter,No Holiday,Yes,0
2017-12-14,22,-4.9,44,Winter,No Holiday,Yes,0
2017-12-14,23,-5.6,53,Winter,No Holiday,Yes,0
2017-12-15,0,-5.7,53,Winter,No Holiday,Yes,0
2017-12-15,1,-6.3,57,Winter,No Holiday,Yes,0
2017-12-15,2,-6.8,58,Winter,No Holiday,Yes,0
2017-12-15,3,-6.9,56,Winter,No Holiday,Yes,0
2017-12-15,4,-7.1,59,Winter,No Holiday,Yes,0
2017-12-15,5,-7.5,64,Winter,No Holiday,Yes,0
2017-12-15,6,-7.4,64,Winter,No Holiday,Yes,0
2017-12-15,7,-7.0,63,Winter,No Holiday,Yes,0
2017-12-15,8,-6.6,64,Winter,No Holiday,Yes,0
2017-12-15,9,-5.9,60,Winter,No Holiday,Yes,0
2017-12-15,10,-4.6,52,Winter,No Holiday,Yes,0
2017-12-15,11,-2.9,46,Winter,No Holiday,Yes,0
2017-12-15,12,-2.5,43,Winter,No Holiday,Yes,0
2017-12-15,13,-1.6,40,Winter,No Holiday,Yes,0
2017-12-15,14,-0.7,39,Winter,No Holiday,Yes,0
2017-12-15,15,0.1,35,Winter,No Holiday,Yes,0
2017-12-15,16,0.0,37,Winter,No Holiday,Yes,0
2017-12-15,17,-0.2,39,Winter,No Holiday,Yes,0
2017-12-15,18,0.1,43,Winter,No Holiday,Yes,0
2017-12-15,19,0.6,41,Winter,No Holiday,Yes,0
2017-12-15,20,0.9,42,Winter,No Holiday,Yes,0
2017-12-15,21,0.7,47,Winter,No Holiday,Yes,0
2017-12-15,22,-0.1,49,Winter,No Holiday,Yes,0
2017-12-15,23,-1.3,60,Winter,No Holiday,Yes,0
2017-12-16,0,-2.6,73,Winter,No Holiday,Yes,0
2017-12-16,1,-3.4,76,Winter,No Holiday,Yes,0
2017-12-16,2,-4.1,73,Winter,No Holiday,Yes,0
2017-12-16,3,-4.5,71,Winter,No Holiday,Yes,0
2017-12-16,4,-5.0,70,Winter,No Holiday,Yes,0
2017-12-16,5,-5.6,72,Winter,No Holiday,Yes,0
2017-12-16,6,-6.1,69,Winter,No Holiday,Yes,0
2017-12-16,7,-6.7,64,Winter,No Holiday,Yes,0
2017-12-16,8,-7.3,62,Winter,No Holiday,Yes,0
2017-12-16,9,-7.2,47,Winter,No Holiday,Yes,0
2017-12-16,10,-6.2,42,Winter,No Holiday,Yes,0
2017-12-16,11,-5.2,30,Winter,No Holiday,Yes,0
2017-12-16,12,-4.1,28,Winter,No Holiday,Yes,0
2017-12-16,13,-3.7,23,Winter,No Holiday,Yes,0
2017-12-16,14,-3.4,22,Winter,No Holiday,Yes,0
2017-12-16,15,-3.3,22,Winter,No Holiday,Yes,0
2017-12-16,16,-3.3,24,Winter,No Holiday,Yes,0
2017-12-16,17,-4.6,26,Winter,No Holiday,Yes,0
2017-12-16,18,-5.3,28,Winter,No Holiday,Yes,0
2017-12-16,19,-6.0,32,Winter,No Holiday,Yes,0
2017-12-16,20,-6.6,37,Winter,No Holiday,Yes,0
2017-12-16,21,-7.1,39,Winter,No Holiday,Yes,0
2017-12-16,22,-7.6,41,Winter,No Holiday,Yes,0
2017-12-16,23,-8.0,41,Winter,No Holiday,Yes,0
2017-12-17,0,-8.1,41,Winter,No Holiday,Yes,0
2017-12-17,1,-8.4,40,Winter,No Holiday,Yes,0
2017-12-17,2,-8.7,40,Winter,No Holiday,Yes,0
2017-12-17,3,-9.0,40,Winter,No Holiday,Yes,0
2017-12-17,4,-9.5,40,Winter,No Holiday,Yes,0
2017-12-17,5,-9.7,41,Winter,No Holiday,Yes,0
2017-12-17,6,-9.9,42,Winter,No Holiday,Yes,0
2017-12-17,7,-10.2,42,Winter,No Holiday,Yes,0
2017-12-17,8,-10.7,43,Winter,No Holiday,Yes,0
2017-12-17,9,-10.5,38,Winter,No Holiday,Yes,0
2017-12-17,10,-8.5,31,Winter,No Holiday,Yes,0
2017-12-17,11,-7.2,29,Winter,No Holiday,Yes,0
2017-12-17,12,-4.9,25,Winter,No Holiday,Yes,0
2017-12-17,13,-4.5,25,Winter,No Holiday,Yes,0
2017-12-17,14,-3.2,26,Winter,No Holiday,Yes,0
2017-12-17,15,-2.5,28,Winter,No Holiday,Yes,0
2017-12-17,16,-2.7,31,Winter,No Holiday,Yes,0
2017-12-17,17,-3.8,35,Winter,No Holiday,Yes,0
2017-12-17,18,-4.7,37,Winter,No Holiday,Yes,0
2017-12-17,19,-5.6,39,Winter,No Holiday,Yes,0
2017-12-17,20,-6.0,42,Winter,No Holiday,Yes,0
2017-12-17,21,-6.5,45,Winter,No Holiday,Yes,0
2017-12-17,22,-6.6,50,Winter,No Holiday,Yes,0
2017-12-17,23,-6.9,53,Winter,No Holiday,Yes,0
2017-12-18,0,-5.9,50,Winter,No Holiday,Yes,0
2017-12-18,1,-5.3,48,Winter,No Holiday,Yes,0
2017-12-18,2,-5.0,65,Winter,No Holiday,Yes,1
2017-12-18,3,-5.3,76,Winter,No Holiday,Yes,1
2017-12-18,4,-5.4,81,Winter,No Holiday,Yes,1
2017-12-18,5,-5.3,81,Winter,No Holiday,Yes,1
2017-12-18,6,-5.2,85,Winter,No Holiday,Yes,1
2017-12-18,7,-5.0,85,Winter,No Holiday,Yes,1
2017-12-18,8,-4.6,86,Winter,No Holiday,Yes,1
2017-12-18,9,-4.3,89,Winter,No Holiday,Yes,1
2017-12-18,10,-3.7,87,Winter,No Holiday,Yes,1
2017-12-18,11,-2.9,85,Winter,No Holiday,Yes,1
2017-12-18,12,-1.8,83,Winter,No Holiday,Yes,1
2017-12-18,13,-0.9,84,Winter,No Holiday,Yes,1
2017-12-18,14,0.5,76,Winter,No Holiday,Yes,1
2017-12-18,15,1.6,73,Winter,No Holiday,Yes,1
2017-12-18,16,1.8,76,Winter,No Holiday,Yes,1
2017-12-18,17,0.4,84,Winter,No Holiday,Yes,1
2017-12-18,18,0.0,88,Winter,No Holiday,Yes,1
2017-12-18,19,1.3,65,Winter,No Holiday,Yes,1
2017-12-18,20,3.3,65,Winter,No Holiday,Yes,1
2017-12-18,21,2.8,73,Winter,No Holiday,Yes,1
2017-12-18,22,1.5,82,Winter,No Holiday,Yes,1
2017-12-18,23,0.1,81,Winter,No Holiday,Yes,1
2017-12-19,0,-1.0,73,Winter,No Holiday,Yes,1
2017-12-19,1,-2.0,72,Winter,No Holiday,Yes,1
2017-12-19,2,-2.7,72,Winter,No Holiday,Yes,1
2017-12-19,3,-2.8,58,Winter,No Holiday,Yes,1
2017-12-19,4,-2.9,59,Winter,No Holiday,Yes,1
2017-12-19,5,-3.9,66,Winter,No Holiday,Yes,1
